Manufacturer ID = 0x5449,,
,,
28.91,99.99,84.05
28.91,99.99,84.05
28.91,99.99,84.05
28.9,99.99,84.03
28.91,99.99,84.05
28.91,99.99,84.05
28.91,99.99,84.05
28.91,99.99,84.05
28.91,99.99,84.05
28.93,99.99,84.08
28.91,99.99,84.05
28.91,99.99,84.05
28.9,99.99,84.03
28.9,99.99,84.03
28.9,99.99,84.03
28.91,99.99,84.05
28.9,99.99,84.03
28.9,99.99,84.03
28.88,99.99,83.99
28.9,99.99,84.03
28.9,99.99,84.03
28.91,99.99,84.05
28.91,99.99,84.05
28.93,99.99,84.08
28.91,99.99,84.05
28.93,99.99,84.08
28.93,99.99,84.08
28.96,99.99,84.14
28.94,99.99,84.1
28.96,99.99,84.14
28.96,99.99,84.14
28.98,99.99,84.17
28.96,99.99,84.14
28.98,99.99,84.17
28.96,99.99,84.14
28.94,99.99,84.1
28.94,99.99,84.1
28.94,99.99,84.1
28.94,99.99,84.1
28.94,99.99,84.1
28.93,99.99,84.08
28.93,99.99,84.08
28.93,99.99,84.08
28.94,99.99,84.1
28.93,99.99,84.08
28.94,99.99,84.1
28.93,99.99,84.08
28.94,99.99,84.1
28.94,99.99,84.1
28.96,99.99,84.14
28.96,99.99,84.14
28.96,99.99,84.14
28.93,99.99,84.08
28.94,99.99,84.1
28.94,99.99,84.1
28.94,99.99,84.1
28.94,99.99,84.1
28.94,99.99,84.1
28.96,99.99,84.14
28.98,99.99,84.17
28.96,99.99,84.14
28.98,99.99,84.17
29,99.99,84.19
29,99.99,84.19
28.98,99.99,84.17
29,99.99,84.19
29,99.99,84.19
29,99.99,84.19
28.98,99.99,84.17
29,99.99,84.19
28.98,99.99,84.17
29,99.99,84.19
29,99.99,84.19
29,99.99,84.19
29.01,99.99,84.21
29,99.99,84.19
29,99.99,84.19
29.01,99.99,84.21
29,99.99,84.19
29,99.99,84.19
29,99.99,84.19
29,99.99,84.19
29.01,99.99,84.21
29,99.99,84.19
29.01,99.99,84.21
29.01,99.99,84.21
29,99.99,84.19
29.01,99.99,84.21
29.01,99.99,84.21
29.01,99.99,84.21
29,99.99,84.19
29.01,99.99,84.21
29.03,99.99,84.24
29.03,99.99,84.24
29.01,99.99,84.21
29.01,99.99,84.21
29.01,99.99,84.21
29.01,99.99,84.21
29.01,99.99,84.21
29,99.99,84.19
29.01,99.99,84.21
29.01,99.99,84.21
29.01,99.99,84.21
29,99.99,84.19
29,99.99,84.19
29.03,99.99,84.24
29.01,99.99,84.21
29.01,99.99,84.21
29,99.99,84.19
29.01,99.99,84.21
29.01,99.99,84.21
29.04,99.99,84.26
29.03,99.99,84.24
29.03,99.99,84.24
29.03,99.99,84.24
