Manufacturer ID = 0x5449

27.20, 82.03, 78.69
27.19, 81.99, 78.67
27.20, 82.03, 78.69
27.19, 81.99, 78.67
27.19, 81.99, 78.67
27.20, 82.03, 78.69
27.19, 81.99, 78.67
27.20, 82.03, 78.69
27.19, 82.09, 78.69
27.19, 82.09, 78.69
27.19, 81.99, 78.67
27.19, 82.09, 78.69
27.19, 82.09, 78.69
27.17, 82.09, 78.65
27.20, 82.13, 78.71
27.19, 82.09, 78.69
27.20, 82.13, 78.71
27.17, 82.09, 78.65
27.17, 82.09, 78.65
27.17, 82.09, 78.65
27.16, 82.09, 78.64
27.17, 82.09, 78.65
27.16, 82.09, 78.64
27.16, 82.09, 78.64
27.17, 82.09, 78.65
27.17, 82.09, 78.65
27.16, 81.99, 78.62
27.17, 82.09, 78.65
27.16, 81.99, 78.62
27.17, 81.99, 78.64
27.19, 81.99, 78.67
27.17, 81.99, 78.64
27.17, 81.99, 78.64
27.17, 81.99, 78.64
27.17, 81.99, 78.64
27.17, 81.99, 78.64
27.17, 81.99, 78.64
27.19, 81.99, 78.67
27.17, 81.99, 78.64
27.19, 81.99, 78.67
27.17, 81.99, 78.64
27.19, 81.90, 78.66
27.19, 81.90, 78.66
27.19, 81.90, 78.66
27.20, 81.93, 78.68
27.20, 81.93, 78.68
27.20, 81.93, 78.68
27.20, 81.93, 78.68
27.20, 81.93, 78.68
27.20, 81.93, 78.68
27.20, 81.93, 78.68
27.21, 82.03, 78.71
27.20, 82.03, 78.69
27.21, 82.03, 78.71
27.21, 82.03, 78.71
27.21, 82.03, 78.71
27.21, 82.03, 78.71
27.20, 82.03, 78.69
27.21, 82.03, 78.71
27.21, 82.03, 78.71
27.20, 82.03, 78.69
27.21, 82.13, 78.72
27.20, 82.03, 78.69
27.21, 82.13, 78.72
27.20, 82.13, 78.71
27.20, 82.13, 78.71
27.20, 82.13, 78.71
27.20, 82.13, 78.71
27.20, 82.13, 78.71
27.21, 82.13, 78.72
27.21, 82.13, 78.72
27.21, 82.13, 78.72
27.20, 82.13, 78.71
27.21, 82.13, 78.72
27.23, 82.13, 78.76
27.23, 82.23, 78.77
27.21, 82.23, 78.74
27.23, 82.23, 78.77
27.23, 82.23, 78.77
27.23, 82.23, 78.77
27.23, 82.23, 78.77
27.24, 82.23, 78.78
27.23, 82.23, 78.77
27.23, 82.23, 78.77
27.23, 82.23, 78.77
27.24, 82.32, 78.80
27.23, 82.23, 78.77
27.24, 82.23, 78.78
27.24, 82.32, 78.80
27.24, 82.23, 78.78
27.24, 82.32, 78.80
27.23, 82.32, 78.78
27.24, 82.32, 78.80
27.23, 82.32, 78.78
27.23, 82.23, 78.77
27.21, 82.32, 78.75
27.21, 82.32, 78.75
27.21, 82.32, 78.75
27.21, 82.32, 78.75
27.21, 82.32, 78.75
27.21, 82.32, 78.75
27.23, 82.32, 78.78
27.23, 82.32, 78.78
27.23, 82.32, 78.78
27.21, 82.42, 78.76
27.23, 82.42, 78.79
27.23, 82.42, 78.79
27.23, 82.42, 78.79
27.23, 82.42, 78.79
27.24, 82.42, 78.81
27.24, 82.42, 78.81
27.24, 82.42, 78.81
27.24, 82.52, 78.82
27.23, 82.42, 78.79
27.24, 82.42, 78.81
27.24, 82.52, 78.82
27.24, 82.52, 78.82
27.26, 82.52, 78.85
27.24, 82.52, 78.82
27.24, 82.52, 78.82
27.24, 82.52, 78.82
27.24, 82.52, 78.82
27.24, 82.52, 78.82
27.26, 82.52, 78.85
27.23, 82.52, 78.81
27.23, 82.52, 78.81
27.23, 82.52, 78.81
27.24, 82.52, 78.82
27.23, 82.52, 78.81
27.21, 82.52, 78.77
27.24, 82.52, 78.82
27.24, 82.52, 78.82
27.26, 82.52, 78.85
27.26, 82.52, 78.85
27.24, 82.52, 78.82
27.24, 82.52, 78.82
27.24, 82.52, 78.82
27.26, 82.52, 78.85
27.26, 82.42, 78.84
27.24, 82.52, 78.82
27.24, 82.52, 78.82
27.26, 82.52, 78.85
27.24, 82.52, 78.82
27.26, 82.52, 78.85
27.27, 82.52, 78.87
27.26, 82.42, 78.84
27.26, 82.42, 78.84
27.27, 82.42, 78.86
27.27, 82.52, 78.87
27.27, 82.52, 78.87
27.27, 82.52, 78.87
27.27, 82.52, 78.87
27.29, 82.52, 78.90
27.29, 82.52, 78.90
27.29, 82.52, 78.90
27.29, 82.52, 78.90
27.29, 82.62, 78.92
27.29, 82.62, 78.92
27.27, 82.62, 78.88
27.29, 82.62, 78.92
27.29, 82.62, 78.92
